,Name,SMILES,Δ{v_m},Δ{α_P},Δ{κ_T},Δ{ε_r},Δ{ΔH_{vap}},SEM(Δ{v_m}),SEM(Δ{α_P}),SEM(Δ{κ_T}),SEM(Δ{ε_r}),SEM(Δ{ΔH_{vap}}),EIE{v_m},EIE{α_P},EIE{κ_T},EIE{ε_r},EIE{ΔH_{vap}},SEM(EIE{v_m}),SEM(EIE{α_P}),SEM(EIE{κ_T}),SEM(EIE{ε_r}),SEM(EIE{ΔH_{vap}}),Classical(n_H),SEM(Classical(n_H)),m_W,Classical(ρ),SEM(Classical(ρ)),Classical(v_m),Classical(α_P),Classical(κ_T),Classical(ε_r),Classical(ΔH_{vap}),"PI,H(v_m)","PI,H(α_P)","PI,H(κ_T)","PI,H(ε_r)","PI,H(ΔH_{vap})","PI,D(v_m)","PI,D(α_P)","PI,D(κ_T)","PI,D(ε_r)","PI,D(ΔH_{vap})",SEM(Classical(v_m)),SEM(Classical(α_P)),SEM(Classical(κ_T)),SEM(Classical(ε_r)),SEM(Classical(ΔH_{vap})),"SEM(PI,H(v_m))","SEM(PI,H(α_P))","SEM(PI,H(κ_T))","SEM(PI,H(ε_r))","SEM(PI,H(ΔH_{vap}))","SEM(PI,D(v_m))","SEM(PI,D(α_P))","SEM(PI,D(κ_T))","SEM(PI,D(ε_r))","SEM(PI,D(ΔH_{vap}))"
55,dichloro(fluoro)methane,FC(Cl)Cl,0.46146209149911915,16.10344618449608,-0.32090212965545556,-2.2891421758857944,2.9886643427722532,0.027094610081985056,3.376741553290549,4.134315594739451,1.4763837486180749,3.279843192519333,0.04472507092583214,0.1706163934346174,-4.622631520406322,0.19121968635579445,0.15934030259697898,0.021431633954706288,4.628720748516948,3.838673838731811,1.187234120426517,3.28496591429738,0.011602260442068893,2.807444097030896e-06,20.3887867224,1.182780068255405,0.00028620189464711895,87.01766612577015,2.2437825341863338,4.003171020783193,2.8175081025244273,19.01127959820985,87.42108127583677,2.674463290972134,3.990365851783775,2.7544547178621683,19.596967168231572,87.38199961453276,0.002669907990251145,4.183765934617422,2.749197710622615,19.56579097768224,0.021057005952822047,0.03863891524843831,0.08672535286433206,0.012645325992939967,0.09196076534809954,0.007669683742732011,0.05771862151858956,0.09923517186536661,0.02732988712656628,0.4498169154328599,0.012087284311931427,7.743828458460253e-05,0.08250943529882515,0.012698163434556492,0.32564056733143887
56,1-methoxy-2-(2-methoxyethoxy)ethane,COCCOCCOC,1.8858620460173292,5.1494117149761705,8.440607977427138,-3.382101973030437,-4.257283714759949,0.015836058390740274,3.8361355204951884,2.608002115586298,1.3776791287815973,5.460309851521709,0.7143523065945041,-3.561152304701763,3.696735891826079,-2.5215131137864035,-3.559136715492485,0.017866436259947164,5.600123887385561,2.343846634527561,1.4519381178794382,5.274758604051404,0.10124262841688433,1.499271615286539e-05,5.8301867090434785,0.9697184865320837,0.0001436026923056169,138.36527888426627,1.1235224545067466,0.8142661108018593,3.073321192685838,52.9226748143855,141.0248122948011,1.184518172022916,0.8893310591240184,2.9727787828183097,50.761609096950906,140.0245437368187,0.0012282583215484292,0.8576268592019589,3.04967678282535,52.6349592570532,0.02049228202165929,0.02167150712494694,0.00716644501816176,0.016481000715209436,0.07475631970999105,0.006277701243104697,0.028241052969083323,0.015597967242461073,0.02651148375067728,1.959203977722466,0.017254482540722815,4.244235408721294e-05,0.009777498066250908,0.02408503563356223,1.2905050029550058
57,octan-1-ol,CCCCCCCCO,2.1495342796901746,6.637181558032225,7.479713630791917,-11.243329606863238,-3.4604400363602155,0.03433500548769439,10.896426709905084,3.6034242571510666,6.404835593005304,3.202155883899884,0.838473494960139,-5.959199604408736,2.5198458408151554,-4.2013664151383825,-0.3013685572725611,0.0348289862989908,14.97297686443361,4.14865000907663,6.929264039245276,3.134684037312731,0.1230283574388243,2.3092605887536792e-05,4.8198431554074075,0.8894660797838,0.00016695410764134752,146.41405301926326,0.7956386545838542,0.49263873196697233,5.033741609936519,79.14407601247925,149.63040997450622,0.8522007667092927,0.5324656367805285,4.524982871086195,76.49694509772507,148.3862307594181,0.0009062032257535366,0.5193781091002612,4.723431537337967,76.72817970592632,0.027481207826110462,0.04384604924037623,0.005456043730781194,0.0842878910700765,0.18681991719229615,0.03069394456117718,0.0578809038932878,0.013007159549973491,0.19607378519330929,1.7270495822592917,0.029781113602868736,8.04099370629068e-05,0.012625131587104585,0.17301362067675904,1.1763086592944356
58,"N,N-diethylethanamine",CCN(CC)CC,2.571620981222717,4.319609906904959,11.086512735307418,-0.7090951991255409,-7.653485136871767,0.015165557011307475,6.829085252445787,3.8302709794659124,0.4488557142901343,2.1321866850938904,1.0342881375416977,1.4804581275406272,6.424841650035259,-0.5189502271251891,-8.454621303748935,0.024778873989123196,5.514939809836726,2.837813441803396,0.3472446046099798,3.031713181551831,0.11627631831642052,6.092854393252161e-06,4.5963840672727265,0.7838609048023999,4.107414499079007e-05,129.09412909057178,1.0532097890131424,0.7561651384428439,1.155588245813617,46.77836987618488,132.50156719295472,1.10075825149583,0.8504504341301615,1.147451720749499,43.4527222381239,131.14514847927217,0.0010846997262393093,0.7991089495127097,1.1534374872091178,47.46577364904533,0.006765110262288437,0.030032983568874086,0.00902747386184369,0.0035525971785578055,0.24713959159684845,0.01337957886061845,0.04872785290882171,0.022131498204556885,0.0026368257818105098,0.6313919519003933,0.021200862256065264,2.560110943326287e-05,0.006806476301852425,0.0021122387038640697,0.8175532396405517
59,propan-2-amine,CC(C)N,3.058853536362405,5.604084413085607,15.589365903341323,-6.886877235583376,0.1846545407548777,0.008164104461603225,4.513008991054836,4.9624720407156975,1.3641095340391065,1.3598958569140798,1.237216974902405,-1.6893425986223294,8.702792987215675,-0.4221671527954537,2.360762380062429,0.025829644589989213,5.228441305910035,5.002860459880292,1.430693098534342,3.474526826340535,0.11534495601652053,5.121471982578335e-06,4.544115329846154,0.7570922419018129,3.3615919057372574e-05,78.07661613484196,1.4022319289217147,0.9281613955047526,5.701013831675574,35.71826884022478,80.5402236130231,1.4854794513122966,1.0995787502815277,5.333689204064115,35.784346260474194,79.5559439696863,0.0015110055110784764,1.0115459962568276,5.356301750660009,34.959046248217646,0.0034669563556634386,0.02839058005436775,0.015152373103960913,0.015403849864782162,0.18071989016787604,0.0039506923974637325,0.042943640917112565,0.0370667329332938,0.05028098682695723,0.3194909424668801,0.01444242684303745,4.576063823990466e-05,0.028741958659368436,0.040588444300441104,0.8496504320119384
60,diethyl_carbonate,CCOC(=O)OCC,2.134191134374168,9.911807328415229,8.08391532508035,-1.8037951118701945,-5.15513558317431,0.03503315000250224,8.354546701341144,2.6594907470881703,0.8281716363498723,9.868296505532276,0.824310883100523,2.1058999146144024,4.159190997620442,-2.8698476806181925,-1.5778166647782155,0.03229644991369153,8.451701910107914,3.440533850089133,0.6242704891902302,7.492940914600777,0.06808729048923898,6.985032224360903e-06,6.559055232222223,0.803858938076299,8.246738188518337e-05,146.9568827736133,1.8616888307142607,2.8076436894517234,2.301272673281487,29.986615091010222,150.16161872773333,2.0665181257448695,3.054572765345194,2.2604979222559076,28.51654835943964,148.93394005126038,0.0020238968830136026,2.9326003169657655,2.3272875294408832,28.97370023007261,0.015074242670587849,0.04550340865060747,0.02722187316470887,0.007782791902807851,0.19636018869886643,0.03563842558516422,0.1177642737183832,0.05412148521844995,0.012039447690798025,1.9850173387773125,0.02325778594200575,9.120383043458042e-05,0.06370059534144543,0.005205264589484393,0.559157053621337
61,hexan-2-one,CCCCC(C)=O,2.271790482605983,2.000404955857274,9.018461359267079,-3.6686008383676723,-5.436591652903567,0.025585647154627723,3.5630798453787467,3.444225630829952,1.7651951067294347,2.970589356688948,0.9074308780211178,-4.73603945341218,2.888213557664424,2.1885080733271245,-3.2835811354915623,0.03812412451758388,1.7488068551261229,3.6507086543456992,2.5499092267393126,4.150365183454926,0.1036055601743947,6.1407240702790565e-06,5.267832368631579,0.8641464788067318,5.121814962173086e-05,115.907063804606,1.0521446539356594,0.6703118686958137,10.279135666985699,50.83326539291754,118.60144003147468,1.07362143023319,0.7367559163213706,9.915379954835272,48.21216675920277,117.53489212785769,0.0011269964255875618,0.7160741651991562,9.703028395052328,49.84899908953821,0.006869813629079213,0.029956531041636134,0.0023444004425114935,0.14134099180392304,0.06926272092160501,0.020900016823286675,0.016822216066549944,0.017866471661499725,0.07299573728427305,1.0115231005264549,0.028351845710715282,5.896392713516473e-06,0.014216674823144747,0.17116694111563593,1.220808320925613
62,N-propan-2-ylpropan-2-amine,CC(C)NC(C)C,2.524429227155035,4.32823168048046,12.178097013605788,-0.2940992588637279,-8.007805519838945,0.02087422670247769,4.171386749593914,4.362465441995268,0.35403838030416995,6.019596322504685,1.0107363067577297,-3.51537408286123,3.4568728833915316,-0.20208530399901337,-9.14398982833408,0.018010816556052713,6.518783818129517,5.282487820137562,0.4451134647700424,6.292801469145218,0.11645285244474392,1.0428205071629699e-05,4.5963840672727265,0.7850509854960414,7.030031894085403e-05,128.89843373720637,1.0459119498378768,0.7741050740173022,1.1619009655543389,47.16757283088273,132.23665449222,1.0932294533793867,0.881448759015425,1.1584938437459003,43.670522332961355,130.9134645753228,0.0011330607783236418,0.8519963289523789,1.1608397302437046,48.06563952175429,0.01154233745328491,0.022350118544510522,0.003753885784455613,0.0019016841258083263,0.2797480205192533,0.017730214052250164,0.02810774069365509,0.02706042929939742,0.002569630816379157,1.8482793990198845,0.01124464973468833,4.6307088367404115e-05,0.026793585361325808,0.00316130081483662,1.4380390930300735
63,dichloromethane,ClCCl,0.4995789978251794,5.431834680768188,0.9606462729470965,-0.9761534260409066,-2.6019998931508175,0.015084569080621299,3.7258517060029788,3.062841088878772,1.9756850445243803,2.1126152489734316,0.12131650392445129,-3.981432776831384,1.787111005753826,-3.1561333632722777,-3.8129182653606404,0.023035643836894344,3.299408097733013,2.168958115932365,1.3755172586344244,4.336980810913948,0.029314347787723283,2.179733352359933e-06,16.7906710848,1.2305189294227403,9.149796443011024e-05,69.02151553964264,1.432658044366644,1.383662716754952,5.207560112837751,25.647642366262218,69.3680638176737,1.5149474873816675,1.3970837497266506,5.1572177550336,24.997214862255646,69.284010877898,0.0015777651460478377,1.37255467408607,5.325291042311338,25.98812066179312,0.005132996058536224,0.02325146382865583,0.0029855407935732814,0.08258929762654288,0.07435789397244184,0.006447674007825698,0.036368758757219885,0.03018368430652128,0.0421939417077303,0.36969934007950606,0.010338473988727833,2.4246068139536976e-05,0.001892905933419935,0.04032326100289995,0.7206414289679515
64,"ethane-1,2-diamine",NCCN,2.2265516098787086,10.03872522183283,16.20867352718026,-47.9383625457913,-3.2574149087097624,0.017554310074773698,6.7105812070593895,2.6015578418316325,2.5346847789816134,2.763200494100944,0.8658512821229751,7.172646164890199,12.670578968681305,-16.551110468304007,0.40717662510014035,0.02332004139727004,4.571848877587241,4.743228563844625,4.218536903270294,3.872578564764392,0.1290743906402674,4.812934396305195e-06,5.005729021333333,0.969167134708353,3.613836807803751e-05,62.01097633048101,0.9861290602156512,0.4727063417831027,38.789882363655096,46.3562628752278,63.423124939864955,1.0961706163538893,0.5641471040996581,26.22029992500997,44.89388284242011,62.87868900493362,0.0010228082030067438,0.5007048949810334,31.420789506193298,44.7118267352987,0.002312221969071306,0.03602981916673306,0.00332137561105825,0.4179504162444694,0.12653612902933112,0.007700917929895438,0.04534776901950449,0.010108695263011858,0.36538555191969363,0.8725963234976835,0.008928852314059717,1.5085084235258168e-05,0.017519231425987682,0.7382341871763775,1.063281437799992
65,methanamide,NC=O,1.42549069758385,7.299643888855392,1.2190938486884697,3.726065010589971,-2.5415622919922187,0.019305338674212618,2.9465479000232446,2.0109921824580526,1.167517385836872,0.9970958042567771,0.4911847596414849,3.0046184199320174,-1.3224686646555188,-0.31865814782620194,-2.432655685992672,0.015825709128588755,2.0749200172182887,4.345017328501786,1.0441451294053514,1.2718157648854178,0.07897094847022919,2.6089403545860983e-06,7.503577286,1.1851292303901764,3.9152771170402066e-05,38.00510441604065,0.8712970727266548,0.34750395875585693,52.087888085489865,51.61574489549285,38.5546980502282,0.939906931621707,0.35179264120492487,54.10383204054082,50.33641358858415,38.36624888286942,0.0009124900864055133,0.3565073390510725,54.27678945250972,51.59145607836081,0.0012555990630907475,0.012725769282898262,0.002317617091306387,0.43910756427794434,0.1672203209082069,0.005187650354131332,0.017393349071859222,0.004726389732467835,0.32108691556483854,0.3346216152639051,0.0022712606102259624,6.237458579560069e-06,0.010278770819477692,0.32866445978197595,0.38591906990728175
66,"1,4-dichlorobutane",ClCCCCCl,1.1295032165046648,6.361003771658192,6.181977807834809,-4.722227604842254,0.7804396111255527,0.020431344949602255,3.3312842416805384,1.785397818453173,0.8423571983061692,2.596731307658387,0.3918767472102926,8.060698430085326,5.60612959135424,-3.721105457640667,1.823213257646036,0.015064391962849944,2.351707083921198,3.1717044483290846,1.401555226055645,3.2783636037885655,0.07532117496671685,2.245883908560974e-06,9.000021829714285,1.1863113831453165,3.537275735709241e-05,107.06541481715021,0.9081622352549971,0.5463785909261107,6.54643028284311,52.4982251404836,108.28853732939154,0.9698547312920924,0.5823812719127426,6.251232840028328,52.91116482952111,107.86583619914316,0.0008975092197091277,0.5514654065689961,6.492838196514611,51.963754763502266,0.003192291674982236,0.005023077878475491,0.003983447239388866,0.04996650995814467,0.15450298242420654,0.015480895525891577,0.02256784742458522,0.006791423316494661,0.01175121876928387,0.9653748132011458,0.0036370427307048543,2.3349114812675306e-06,0.012146391578297399,0.06139302102699556,1.0190582167969953
67,ethyl_acetate,CCOC(C)=O,2.258980137127469,13.427093044177258,5.626065235148541,0.5890527313657389,0.46039848873420464,0.04600490259196898,4.151100323506618,6.581271964729582,1.676566103211956,3.963041946189844,0.8711870873680586,5.3745923347914175,1.0380741678213097,0.31797621827617506,5.195910044569569,0.0338181916159918,4.153883640138068,5.230886598594963,1.215788443787134,3.988545221331209,0.08287620731504042,3.9258451568817965e-06,6.289459249714286,0.9121814251879345,4.321002548606844e-05,96.5885931901706,1.3473531425380316,1.094655176161848,6.482208667294066,37.23831080563037,98.82093856364631,1.556321937099296,1.1599126166450149,6.520618548958648,37.410548405114696,97.96745871351156,0.0014769423089719957,1.147995571172936,6.499950252954471,35.56274040432231,0.004575384420362095,0.030163866312283984,0.007196521297551638,0.08977052316310005,0.18734504797213578,0.0319836100944248,0.04039728113860093,0.05373801372731459,0.04411721813816989,1.039949979217981,0.006852321324181231,3.568892001098958e-05,0.019918903145298855,0.04657521971873518,0.7566292999885166
68,methylsulfinylmethane,C[S](C)=O,1.0991477428636656,0.4385025123049145,2.963075572022123,-5.695894855881014,-1.404257364677446,0.009364901764013117,3.90859327743576,1.894905531403573,3.453078466109183,1.4861611465296818,0.3650362489048912,0.13812235177870813,1.6295157542282181,-4.486857961906878,1.0595772533818673,0.01426069936823261,5.9043439173150825,3.1786362262110868,5.102483696710438,2.0230242433640226,0.09231721526575871,2.7980421578043764e-06,7.8013935812,1.2003382176809145,3.638104688303677e-05,65.09418684200534,0.6906090439654857,0.2651767163593963,37.34584771697488,64.06535755785427,65.81761972360393,0.693650719798423,0.2732740324598953,35.33330009448037,63.17817340494662,65.5782353930272,0.0006926939546176761,0.26889238862532505,36.99312926004312,62.51577052073253,0.0019728326786964154,0.009609080725229018,0.0011405394429811983,0.47095688522039364,0.05407030417085249,0.004129153195827289,0.017926590865310954,0.0035716804730612636,0.7958677237656923,0.6628215992122524,0.005960204801582131,2.603835913383508e-05,0.005598947424857625,1.143887230789348,0.7727328444292202
